words,Frequency
ترتيب,3070
فوٽ,3067
دفعو,3065
وڌو,3065
مولوي,3062
ڌيءَ,3060
ويٺي,3058
ڀڄي,3056
پئسا,3052
ماري,3052
ملن,3050
اٺ,3045
پکي,3045
وات,3042
هونديون,3041
سمجهه,3038
ڪابه,3032
پڪ,3030
واٽ,3028
يوسف,3028
قبر,3027
پار,3022
ايئن,3021
آرام,3020
صوفي,3020
ڪجھ,3019
رپيا,3018
نقصان,3018
کانئس,3013
صديءَ,3011
وڌ,3009
تهذيب,3006
سگهندو,3006
وسيلي,3003
ڏهه,3001
لڳل,3001
محفوظ,3000
ميرن,2998
عملي,2997
بهترين,2989
مارچ,2988
اھا,2983
لاهور,2983
دڪان,2982
ابن,2979
جتان,2979
جهان,2975
ويل,2967
ڪاري,2964
ننڍو,2960
اٽڪل,2955
ظلم,2954
هيٺيان,2954
حساب,2953
فائدو,2946
ڪڇ,2946
گورنر,2938
اٿي,2933
شڪست,2933
سيوهڻ,2929
رخ,2923
صدي,2920
واسطو,2920
ايس,2909
خوشيءَ,2908
ٻڌو,2907
مضبوط,2907
چين,2906
راند,2906
قيد,2906
پيل,2905
کولي,2901
بلڪ,2898
دعا,2897
ڪئٽلاگ,2890
انڪار,2888
ٽائيٽل,2888
راڳ,2885
هئاسين,2882
پهچڻ,2880
سگھي,2879
عورتون,2878
ا,2877
ڪيائون,2871
گاهه,2868
بندر,2865
مٿس,2865
ولد,2859
روشن,2858
اُنهن,2856
روانو,2856
ممڪن,2855
امن,2848
محبوب,2848
مندر,2848
علاج,2845
ڏيو,2842
پارٽيءَ,2837
روپ,2836
گھڻو,2830
صادق,2827
مهراڻ,2826
جوان,2825
ڌرتي,2824
ون,2824
جيترو,2822
نتيجي,2821
اول,2820
انتظار,2819
مل,2819
ڪيم,2817
حافظ,2816
پرين,2809
اعظم,2808
تيز,2805
نوان,2802
شڪ,2798
گذريو,2797
ابو,2790
حملو,2788
سک,2788
سزا,2787
مسئلو,2786
مرڻ,2782
ڀٽي,2770
هيٺان,2764
رکن,2763
ڳالهائي,2760
اڳواڻ,2757
اسٽيشن,2753
ساڳيو,2750
تعمير,2749
چند,2744
لکيا,2744
سمجهڻ,2739
ڀيڻ,2736
اسپتال,2735
ٻڌل,2735
اديبن,2732
ڪريون,2729
تعليمي,2725
هڪدم,2725
ڇپيل,2723
هند,2720
کنيو,2717
اصول,2716
بيٺل,2715
جدوجهد,2715
رھيو,2715
فون,2711
لائق,2701
حضور,2697
مهيني,2695
حيرت,2689
سائيز,2688
سهڻي,2688
بکر,2686
چپ,2685
قبضو,2681
چاهيو,2680
پارٽي,2677
عالمي,2673
رسالي,2670
هيس,2668
رهجي,2659
انقلاب,2658
خيالن,2655
ڪلاس,2652
گرفتار,2650
تخليق,2647
ڇهه,2646
مٽيءَ,2646
ڪنڊ,2645
سنگت,2643
بحث,2640
ڪپڙا,2634
ٺاهيو,2633
مبارڪ,2633
ملڪيت,2633
سلسلو,2630
کاڌي,2629
فيض,2628
ٻانهن,2627
تڪليف,2627
ڪمال,2621
مقام,2621
رام,2615
جماعت,2612
ٽالپر,2609
مصنف,2608
چيني,2604
سين,2604
ڀارت,2601
ڏسندي,2601
غور,2597
ڪوئي,2593
ڀي,2592
کلي,2588
شاهي,2587
خريد,2583
ريڊيو,2580
ڪيئي,2572
آءِ,2570
سوچي,2569
فرض,2566
ڪل,2566
تصوير,2562
قبرستان,2561
علائقو,2558
ڪريم,2552
قدرت,2550
مقابلو,2550
موقعي,2550
تيل,2549
لاهي,2547
واقف,2546
راهه,2543
جيستائين,2542
آڪٽوبر,2540
ايڊيٽر,2539
سيٺ,2539
محترم,2538
دفعي,2537
مغل,2536
ايف,2535
ڇڏيا,2532
ڄاڻي,2528
ڪانهي,2527
وڃ,2526
ماٺ,2525
پڙهيو,2523
اٿئي,2522
چڪي,2520
رواج,2517
ملتان,2516
ٺيڪ,2515
انعام,2513
پيج,2512
ولي,2507
رئيس,2505
واريءَ,2505
ساٿي,2501
مليل,2499
ننڍا,2499
هت,2499
ايمان,2496
خبرون,2495
لڏي,2494
لڳندو,2491
وسلم,2487
مهمان,2485
پور,2483
چانهه,2483
رهائش,2483
کنڊ,2481
السلام,2480
مشڪل,2480
ملندو,2478
سگهان,2473
اھي,2467
سوچيو,2467
سڌو,2466
لا,2459
روم,2457
کاتي,2456
موسم,2456
ننڍڙي,2456
ڀت,2453
وڻن,2453
وڃان,2452
فرزند,2451
ڪاوڙ,2451
شاه,2448
تخت,2445
سير,2445
جانور,2441
پهرئين,2440
هندن,2439
چونڊن,2434
واپاري,2434
فيروز,2432
جهڙن,2427
طريقي,2427
آدم,2426
انسانن,2425
گهرن,2425
هزارين,2425
هئائين,2422
بيحد,2420
ڪشمير,2417
هيا,2416
منجهان,2413
سليمان,2412
جهڙوڪ,2409
ماهر,2409
مئي,2405
نتيجو,2404
وينديون,2402
ٿينديون,2401
واريون,2399
معلومات,2396
اسيمبليءَ,2394
قوت,2392
ھنن,2392
لغاري,2390
ايڏو,2388
مقابلي,2383
هڪٻئي,2380
سطح,2379
قابل,2379
مسافر,2378
مليا,2376
افسوس,2374
حيات,2372
اهڙيون,2371
نفرت,2363
موهن,2359
دهليءَ,2358
هم,2353
کٽي,2351
ڪامريڊ,2351
بلوچستان,2350
عطا,2349
ڇپيو,2346
سڏجي,2346
دڙي,2344
متان,2343
سامونڊي,2340
حيدر,2339
همت,2335
ڪيترو,2334
ماڻھن,2333
آگسٽ,2329
ڀرپور,2326
ڌڻي,2325
اچ,2323
صالح,2321
مجبور,2320
خوف,2319
ثبوت,2317
اندازو,2316
قلم,2315
وراڻيو,2314
لال,2313
حج,2309
ملئي,2308
کڻڻ,2307
قرار,2304
کاڌو,2304
آئين,2303
هاري,2302
بيمار,2300
ڪاٺ,2300
گرم,2300
خواجه,2296
دماغ,2291
گم,2291
راڻي,2290
سيڪشن,2290
صحت,2288
جنهنڪري,2286
جانورن,2285
ٻولين,2283
ڪتب,2281
نيڪ,2278
اشارو,2276
ڊپ,2274
هلندي,2274
آيس,2271
هائوس,2270
ڳوٺن,2268
بنجي,2267
ڪارڻ,2267
تنقيد,2265
رسالو,2263
طبقي,2260
ڇوڪريءَ,2259
ھٿ,2258
انصاف,2254
ڪٿان,2254
فضل,2253
بک,2252
ذوالفقار,2252
بلڪه,2251
لڳائي,2249
هلندو,2249
جام,2247
پيون,2244
اپريل,2243
مرڪزي,2243
بدن,2239
ڊسمبر,2239
عمارت,2233
فطرت,2232
آڻڻ,2227
ترخان,2224
مسئلن,2224
ٻيٽ,2220
فلسفي,2215
پنجن,2213
سڏ,2213
متاثر,2210
درٻار,2208
اخبارن,2205
هوائي,2205
عاشق,2203
پيئڻ,2202
ڪانفرنس,2202
بمبئي,2201
ڄاڻايل,2201
هليا,2201
ڪرائڻ,2200
گهڙي,2199
ساٿ,2198
انجنيئر,2197
ڀيري,2197
دروازي,2197
قبيلي,2194
منجهه,2193
ڏوهه,2191
سدا,2190
ي,2189
عباسي,2188
ڪهاڻين,2188
پتو,2185
رھي,2183
پڌرو,2181
بهار,2179
موقعو,2178
ڪرين,2173
عرض,2171
اداري,2170
ڍنڍ,2170
راز,2170
سمورو,2167
گاڏي,2166
جاني,2161
ساز,2159
صفحن,2159
هٿيار,2152
وارين,2152
ايشيا,2151
سلام,2151
اڪيلو,2150
عربن,2150
لاش,2150
ٻاهران,2149
روحاني,2148
مريد,2148
پريشان,2147
سيڪڙو,2147
ههع,2144
ريلوي,2139
اٿن,2135
ڪمن,2133
هندي,2132
شان,2129
دعوت,2128
بيگم,2125
اهوئي,2124
شراب,2124
ڪورٽ,2121
وچان,2121
بهادر,2118
ڇڏڻ,2118
دفن,2117
پاڙي,2115
سچل,2115
